Fecha,"Pedido #",Estado,Cliente,Producto(s),"Artículos vendidos",Cupón(es),"Ingresos netos"
"2020-02-19 10:50:06",5926,completed,new,"1× Lamina Alfajor",1,,1
"2020-02-18 16:18:08",5920,on-hold,new,"3× Lamina HR (Hot Rolled)",3,,3
"2020-02-17 08:42:26",5914,on-hold,new,"1× Lamina Galvanizada",1,,1
"2020-02-16 14:42:24",5910,on-hold,new,"8× Tubería Estructural",8,,8
"2020-02-16 13:05:14",5908,on-hold,new,"32× Varillas Corrugadas y Chipa",32,,32
"2020-02-15 13:49:37",5904,on-hold,new,"130× Tubería de Cerramiento Galvanizado",130,,130
"2020-02-15 12:36:17",5902,on-hold,new,"1× Varillas Corrugadas y Chipa",1,,1
"2020-02-14 16:50:40",5900,on-hold,new,"2× Tubería Estructural, 6× Tubería Estructural, 15× Tubería Estructural",23,,23
"2020-02-14 11:29:10",5899,on-hold,new,"1× Sistema Placa Fácil",1,,0
"2020-02-14 09:25:07",5898,on-hold,new,"1× Tubería Cerramiento Negro",1,,1
"2020-02-14 09:19:14",5897,completed,new,"1× Tubería de Cerramiento Galvanizado",1,,1
"2020-02-13 20:44:08",5896,completed,new,"2× Varillas Corrugadas y Chipa",2,,2
"2020-02-13 18:57:29",5895,completed,new,"1× Tubería Estructural",1,,1
